impl,k,t,n
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
AllCycles, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
HanserRingFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 3, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder, 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllRingsFinder', 3, 0, 1
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
AllCycles, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
HanserRingFinder, 4, 0, 7
AllRingsFinder, 4, 1, 7
AllRingsFinder, 4, 1, 7
AllRingsFinder, 4, 1, 7
AllRingsFinder, 4, 1, 7
AllRingsFinder, 4, 1, 7
AllRingsFinder, 4, 1, 7
AllRingsFinder, 4, 1, 7
