data,impl,t,cycles,timeout,n
ChEBI,AllCycles,676,155476,36,29954
ChEBI,AllCycles,279,155476,36,29954
ChEBI,AllCycles,266,155476,36,29954
ChEBI,AllCycles,261,155476,36,29954
ChEBI,AllCycles,236,155476,36,29954
ChEBI,AllCycles,260,155476,36,29954
ChEBI,AllCycles,235,155476,36,29954
ChEBI,AllCycles,260,155476,36,29954
ChEBI,AllCycles,259,155476,36,29954
ChEBI,AllCycles,235,155476,36,29954
ChEBI,AllCycles,283,155476,36,29954
ChEBI,AllCycles,263,155476,36,29954
ChEBI,AllCycles,237,155476,36,29954
ChEBI,AllCycles,260,155476,36,29954
ChEBI,AllCycles,262,155476,36,29954
ChEBI,AllCycles,236,155476,36,29954
ChEBI,AllCycles,262,155476,36,29954
ChEBI,AllCycles,261,155476,36,29954
ChEBI,AllCycles,239,155476,36,29954
ChEBI,AllCycles,261,155476,36,29954
ChEBI,AllCycles,259,155476,36,29954
ChEBI,AllCycles,236,155476,36,29954
ChEBI,AllCycles,266,155476,36,29954
ChEBI,AllCycles,250,155476,36,29954
ChEBI,AllCycles,236,155476,36,29954
ChEBI,AllCycles,241,155476,36,29954
ChEBI,AllCycles,236,155476,36,29954
ChEBI,AllCycles,247,155476,36,29954
ChEBI,AllCycles,243,155476,36,29954
ChEBI,AllCycles,256,155476,36,29954
ChEBI,AllCycles,253,155476,36,29954
ChEBI,AllCycles,255,155476,36,29954
ChEBI,AllCycles,237,155476,36,29954
ChEBI,AllCycles,240,155476,36,29954
ChEBI,AllCycles,245,155476,36,29954
ChEBI,AllCycles,246,155476,36,29954
ChEBI,AllCycles,244,155476,36,29954
ChEBI,AllCycles,242,155476,36,29954
ChEBI,AllCycles,242,155476,36,29954
ChEBI,AllCycles,251,155476,36,29954
ChEBI,AllCycles,249,155476,36,29954
ChEBI,AllCycles,240,155476,36,29954
ChEBI,AllCycles,247,155476,36,29954
ChEBI,AllCycles,295,155476,36,29954
ChEBI,AllCycles,300,155476,36,29954
ChEBI,AllCycles,242,155476,36,29954
ChEBI,AllCycles,237,155476,36,29954
ChEBI,AllCycles,242,155476,36,29954
ChEBI,AllCycles,244,155476,36,29954
ChEBI,AllCycles,239,155476,36,29954
