Degree,Frequency,Cumulated Frequency,Cumulated Percentile,Impractical
0,0,0,0,17842848
1,0,0,0,17842848
2,0,0,0,17842848
3,14548174,14548174,81.5350441812876,3294674
4,1501647,16049821,89.9510044584811,1793027
5,1222870,17272691,96.8045628141875,570157
6,147608,17420299,97.631829851378,422549
7,104100,17524399,98.2152568917249,318449
8,20425,17544824,98.3297285276431,298024
9,131893,17676717,99.0689210601357,166131
10,14942,17691659,99.1526632968011,151189
11,4484,17696143,99.1777938140817,146705
12,55490,17751633,99.488786767673,91215
13,8789,17760422,99.5380445991582,82426
14,3009,17763431,99.5549084989123,79417
15,3217,17766648,99.5729381318498,76200
16,3799,17770447,99.5942295759063,72401
17,8813,17779260,99.6436219150665,63588
18,24346,17803606,99.7800687423891,39242
19,628,17804234,99.7835883598851,38614
20,896,17805130,99.7886099797521,37718
21,2687,17807817,99.8036692348665,35031
22,1038,17808855,99.8094866918106,33993
23,199,17809054,99.8106019846159,33794
24,3422,17812476,99.8297805372775,30372
25,800,17813276,99.8342641264444,29572
26,1118,17814394,99.8405299423052,28454
27,1462,17815856,99.8487237015077,26992
28,194,17816050,99.8498109718807,26798
29,309,17816359,99.8515427581964,26489
30,1356,17817715,99.8591424418344,25133
31,406,17818121,99.8614178633366,24727
32,594,17818715,99.8647469282931,24133
33,1194,17819909,99.8714386851247,22939
34,392,17820301,99.8736356438165,22547
35,35,17820336,99.8738318008426,22512
36,3053,17823389,99.8909422980009,19459
37,119,17823508,99.8916092318894,19340
38,36,17823544,99.8918109934019,19304
39,1822,17825366,99.9020223677296,17482
40,175,17825541,99.9030031528599,17307
41,50,17825591,99.9032833771828,17257
42,306,17825897,99.9049983500392,16951
43,299,17826196,99.9066740914903,16652
44,900,17827096,99.9117181293031,15752
45,201,17827297,99.9128446310813,15551
46,18,17827315,99.9129455118376,15533
47,8,17827323,99.9129903477292,15525
48,1540,17828863,99.9216212568756,13985
49,75,17828938,99.92204159336,13910
50,85,17829023,99.922517974709,13825
51,35,17829058,99.922714131735,13790
52,335,17829393,99.9245916346987,13455
53,19,17829412,99.9246981199414,13436
54,383,17829795,99.9268446382551,13053
55,19,17829814,99.9269511234978,13034
56,29,17829843,99.9271136536051,13005
57,544,17830387,99.9301624942386,12461
58,24,17830411,99.9302970019136,12437
59,9,17830420,99.9303474422917,12428
60,358,17830778,99.9323538484439,12070
61,332,17831110,99.9342145379482,11738
62,5,17831115,99.9342425603805,11733
63,76,17831191,99.9346685013514,11657
64,59,17831250,99.9349991660524,11598
65,411,17831661,99.9373026099869,11187
66,112,17831773,99.9379303124703,11075
67,7,17831780,99.9379695438755,11068
68,53,17831833,99.9382665816578,11015
69,683,17832516,99.9420944459091,10332
70,28,17832544,99.9422513715299,10304
71,1,17832545,99.9422569760164,10303
72,1468,17834013,99.9504843621377,8835
73,73,17834086,99.9508934896492,8762
74,23,17834109,99.9510223928377,8739
75,15,17834124,99.9511064601346,8724
76,32,17834156,99.9512858037013,8692
77,6,17834162,99.95131943062,8686
78,217,17834379,99.9525356041816,8469
79,0,17834379,99.9525356041816,8469
80,35,17834414,99.9527317612076,8434
81,40,17834454,99.952955940666,8394
82,1153,17835607,99.9594179135528,7241
83,0,17835607,99.9594179135528,7241
84,269,17835876,99.9609255204102,6972
85,21,17835897,99.9610432146258,6951
86,13,17835910,99.9611160729498,6938
87,0,17835910,99.9611160729498,6938
88,10,17835920,99.9611721178144,6928
89,7,17835927,99.9612113492196,6921
90,159,17836086,99.9621024625665,6762
91,0,17836086,99.9621024625665,6762
92,5,17836091,99.9621304849988,6757
93,6,17836097,99.9621641119176,6751
94,57,17836154,99.9624835676457,6694
95,14,17836168,99.9625620304561,6680
96,234,17836402,99.9638734802874,6446
97,30,17836432,99.9640416148812,6416
98,25,17836457,99.9641817270427,6391
99,11,17836468,99.9642433763937,6380
100,403,17836871,99.9665019844366,5977
101,4,17836875,99.9665244023824,5973
102,29,17836904,99.9666869324897,5944
103,2,17836906,99.9666981414626,5942
104,18,17836924,99.9667990222189,5924
105,22,17836946,99.966922320921,5902
106,4,17836950,99.9669447388668,5898
107,0,17836950,99.9669447388668,5898
108,63,17837013,99.9672978215137,5835
109,3,17837016,99.9673146349731,5832
110,125,17837141,99.9680151957804,5707
111,15,17837156,99.9680992630773,5692
112,6,17837162,99.968132889996,5686
113,23,17837185,99.9682617931846,5663
114,16,17837201,99.9683514649679,5647
115,1,17837202,99.9683570694544,5646
116,44,17837246,99.9686036668586,5602
117,5,17837251,99.9686316892909,5597
118,1,17837252,99.9686372937773,5596
119,0,17837252,99.9686372937773,5596
120,152,17837404,99.969489175719,5444
121,7,17837411,99.9695284071242,5437
122,0,17837411,99.9695284071242,5437
123,2,17837413,99.9695396160972,5435
124,3,17837416,99.9695564295565,5432
125,2,17837418,99.9695676385295,5430
126,274,17837692,99.9711032678191,5156
127,1,17837693,99.9711088723056,5155
128,29,17837722,99.9712714024129,5126
129,91,17837813,99.9717814106806,5035
130,30,17837843,99.9719495452744,5005
131,4,17837847,99.9719719632202,5001
132,7,17837854,99.9720111946254,4994
133,14,17837868,99.9720896574359,4980
134,8,17837876,99.9721344933275,4972
135,12,17837888,99.972201747165,4960
136,2,17837890,99.9722129561379,4958
137,8,17837898,99.9722577920296,4950
138,2,17837900,99.9722690010025,4948
139,3,17837903,99.9722858144619,4945
140,22,17837925,99.972409113164,4923
141,119,17838044,99.9730760470526,4804
142,0,17838044,99.9730760470526,4804
143,3,17838047,99.973092860512,4801
144,247,17838294,99.9744771686672,4554
145,36,17838330,99.9746789301797,4518
146,6,17838336,99.9747125570985,4512
147,44,17838380,99.9749591545027,4468
148,3,17838383,99.9749759679621,4465
149,0,17838383,99.9749759679621,4465
150,2,17838385,99.974987176935,4463
151,1,17838386,99.9749927814214,4462
152,1,17838387,99.9749983859079,4461
153,38,17838425,99.9752113563933,4423
154,8,17838433,99.975256192285,4415
155,4,17838437,99.9752786102308,4411
156,51,17838488,99.9755644390402,4360
157,8,17838496,99.9756092749319,4352
158,2,17838498,99.9756204839048,4350
159,5,17838503,99.9756485063371,4345
160,6,17838509,99.9756821332559,4339
161,4,17838513,99.9757045512017,4335
162,19,17838532,99.9758110364444,4316
163,1,17838533,99.9758166409309,4315
164,1,17838534,99.9758222454173,4314
165,3,17838537,99.9758390588767,4311
166,1,17838538,99.9758446633632,4310
167,0,17838538,99.9758446633632,4310
168,78,17838616,99.9762818133069,4232
169,1,17838617,99.9762874177934,4231
170,1,17838618,99.9762930222798,4230
171,26,17838644,99.9764387389278,4204
172,0,17838644,99.9764387389278,4204
173,0,17838644,99.9764387389278,4204
174,1,17838645,99.9764443434142,4203
175,1,17838646,99.9764499479007,4202
176,5,17838651,99.976477970333,4197
177,0,17838651,99.976477970333,4197
178,1,17838652,99.9764835748194,4196
179,2,17838654,99.9764947837924,4194
180,52,17838706,99.9767862170882,4142
181,0,17838706,99.9767862170882,4142
182,1,17838707,99.9767918215747,4141
183,0,17838707,99.9767918215747,4141
184,9,17838716,99.9768422619528,4132
185,1,17838717,99.9768478664393,4131
186,14,17838731,99.9769263292497,4117
187,0,17838731,99.9769263292497,4117
188,3,17838734,99.9769431427091,4114
189,0,17838734,99.9769431427091,4114
