DataSet	DataRange	DataStruct	Algorithm	Tweak	tElap	tElapSlower	tInit	tRun	tRunSlower	CheckSum
chembl_22.smi	0-167839	AtomContainer	DepthFirst	VisitFlag	1198.9	3.0x	0.0	1198.9	16.7x	5044162
chembl_22.smi	0-167839	AtomContainer	DepthFirst	VisitArray	1349.9	3.3x	0.0	1349.9	18.8x	5044162
chembl_22.smi	0-167839	GraphUtil	DepthFirst	VisitFlag	460.2	1.1x	367.9	92.3	1.3x	5044162
chembl_22.smi	0-167839	GraphUtil+BondMap	DepthFirst	VisitFlag	1039.9	2.6x	941.6	98.3	1.4x	5044162
chembl_22.smi	0-167839	GraphUtil+BondMap	DepthFirst	VisitArray	962.7	2.4x	889.6	73.1	1.0x	5044162
chembl_22.smi	0-167839	GraphUtil	DepthFirst	VisitArray	403.7	1.0x	331.9	71.8	1.0x	5044162
chembl_22.smi	0-167839	AtomRef	DepthFirst	VisitFlag	645.9	1.6x	537.1	108.8	1.5x	5044162
chembl_22.smi	0-167839	AtomRef	DepthFirst	VisitArray	414.6	1.0x	315.6	99.0	1.4x	5044162
chembl_22.smi	167839-335678	AtomContainer	DepthFirst	VisitFlag	1262.8	3.2x	0.0	1262.8	17.8x	10250411
chembl_22.smi	167839-335678	AtomContainer	DepthFirst	VisitArray	1422.1	3.6x	0.0	1422.1	20.1x	10250411
chembl_22.smi	167839-335678	GraphUtil	DepthFirst	VisitFlag	455.7	1.1x	364.6	91.0	1.3x	10250411
chembl_22.smi	167839-335678	GraphUtil+BondMap	DepthFirst	VisitFlag	1059.2	2.7x	964.6	94.6	1.3x	10250411
chembl_22.smi	167839-335678	GraphUtil+BondMap	DepthFirst	VisitArray	982.4	2.5x	910.5	71.9	1.0x	10250411
chembl_22.smi	167839-335678	GraphUtil	DepthFirst	VisitArray	398.3	1.0x	327.5	70.8	1.0x	10250411
chembl_22.smi	167839-335678	AtomRef	DepthFirst	VisitFlag	659.4	1.7x	553.8	105.6	1.5x	10250411
chembl_22.smi	167839-335678	AtomRef	DepthFirst	VisitArray	403.9	1.0x	306.6	97.3	1.4x	10250411
chembl_22.smi	335678-503517	AtomContainer	DepthFirst	VisitFlag	1315.5	3.2x	0.0	1315.5	18.6x	15613172
chembl_22.smi	335678-503517	AtomContainer	DepthFirst	VisitArray	1478.0	3.6x	0.0	1478.0	20.9x	15613172
chembl_22.smi	335678-503517	GraphUtil	DepthFirst	VisitFlag	461.3	1.1x	370.3	91.0	1.3x	15613172
chembl_22.smi	335678-503517	GraphUtil+BondMap	DepthFirst	VisitFlag	1087.6	2.7x	993.1	94.5	1.3x	15613172
chembl_22.smi	335678-503517	GraphUtil+BondMap	DepthFirst	VisitArray	1008.1	2.5x	936.6	71.5	1.0x	15613172
chembl_22.smi	335678-503517	GraphUtil	DepthFirst	VisitArray	410.3	1.0x	339.7	70.6	1.0x	15613172
chembl_22.smi	335678-503517	AtomRef	DepthFirst	VisitFlag	678.9	1.7x	571.9	107.0	1.5x	15613172
chembl_22.smi	335678-503517	AtomRef	DepthFirst	VisitArray	414.5	1.0x	316.4	98.1	1.4x	15613172
chembl_22.smi	503517-671356	AtomContainer	DepthFirst	VisitFlag	1462.1	3.6x	0.0	1462.1	20.9x	20829359
