DataSet	DataRange	DataStruct	Algorithm	Tweak	tElap	tElapSlower	tInit	tRun	tRunSlower	CheckSum
chembl_22.smi	0-167839	AtomContainer	DepthFirst		1200.8	3.0x	0.0	1200.8	16.8x	5044162
chembl_22.smi	0-167839	GraphUtil	DepthFirst	VisitFlag	461.0	1.1x	368.9	92.1	1.3x	5044162
chembl_22.smi	0-167839	GraphUtil+BondMap	DepthFirst	VisitFlag	1031.5	2.5x	935.2	96.3	1.3x	5044162
chembl_22.smi	0-167839	GraphUtil+BondMap	DepthFirst	VisitArray	981.5	2.4x	910.2	71.4	1.0x	5044162
chembl_22.smi	0-167839	GraphUtil	DepthFirst	VisitArray	430.9	1.1x	359.2	71.7	1.0x	5044162
chembl_22.smi	0-167839	AtomRef	DepthFirst	VisitFlag	617.8	1.5x	509.0	108.8	1.5x	5044162
chembl_22.smi	0-167839	AtomRef	DepthFirst	VisitArray	404.7	1.0x	306.1	98.6	1.4x	5044162
chembl_22.smi	167839-335678	AtomContainer	DepthFirst		1262.3	3.1x	0.0	1262.3	18.1x	10250411
chembl_22.smi	167839-335678	GraphUtil	DepthFirst	VisitFlag	465.3	1.2x	375.7	89.6	1.3x	10250411
chembl_22.smi	167839-335678	GraphUtil+BondMap	DepthFirst	VisitFlag	1062.0	2.6x	969.5	92.5	1.3x	10250411
chembl_22.smi	167839-335678	GraphUtil+BondMap	DepthFirst	VisitArray	1021.6	2.5x	951.8	69.8	1.0x	10250411
chembl_22.smi	167839-335678	GraphUtil	DepthFirst	VisitArray	430.5	1.1x	359.8	70.8	1.0x	10250411
chembl_22.smi	167839-335678	AtomRef	DepthFirst	VisitFlag	646.2	1.6x	542.2	104.0	1.5x	10250411
chembl_22.smi	167839-335678	AtomRef	DepthFirst	VisitArray	404.0	1.0x	306.5	97.5	1.4x	10250411
chembl_22.smi	335678-503517	AtomContainer	DepthFirst		1320.2	3.0x	0.0	1320.2	18.8x	15613172
chembl_22.smi	335678-503517	GraphUtil	DepthFirst	VisitFlag	472.0	1.1x	382.9	89.1	1.3x	15613172
chembl_22.smi	335678-503517	GraphUtil+BondMap	DepthFirst	VisitFlag	1093.4	2.5x	1002.1	91.3	1.3x	15613172
chembl_22.smi	335678-503517	GraphUtil+BondMap	DepthFirst	VisitArray	1052.9	2.4x	982.6	70.3	1.0x	15613172
chembl_22.smi	335678-503517	GraphUtil	DepthFirst	VisitArray	442.2	1.0x	371.4	70.9	1.0x	15613172
chembl_22.smi	335678-503517	AtomRef	DepthFirst	VisitFlag	666.8	1.5x	561.0	105.8	1.5x	15613172
chembl_22.smi	335678-503517	AtomRef	DepthFirst	VisitArray	433.5	1.0x	334.8	98.7	1.4x	15613172
chembl_22.smi	503517-671356	AtomContainer	DepthFirst		1453.9	3.6x	0.0	1453.9	21.0x	20829359
chembl_22.smi	503517-671356	GraphUtil	DepthFirst	VisitFlag	468.1	1.2x	380.5	87.6	1.3x	20829359
