DataSet	DataRange	DataStruct	Algorithm	Tweak	tElap	tElapSlower	tInit	tRun	tRunSlower	CheckSum
chembl_22.smi	0-167839	AtomContainer	Relaxation		71742.5	74.7x	0.0	71742.5	119.1x	58458704854271
chembl_22.smi	0-167839	AtomContainer	Relaxation	Improved	4843.7	5.0x	0.0	4843.7	8.0x	58458704854271
chembl_22.smi	0-167839	GraphUtil	Relaxation		999.9	1.0x	396.5	603.4	1.0x	58458704854271
chembl_22.smi	0-167839	AtomRef	Relaxation		2066.9	2.2x	581.3	1485.7	2.5x	58458704854271
chembl_22.smi	0-167839	AtomRef	Relaxation	Xor	1584.3	1.6x	319.7	1264.5	2.1x	58458704854271
chembl_22.smi	0-167839	BondRef	Relaxation		960.9	1.0x	358.5	602.4	1.0x	58458704854271
chembl_22.smi	0-167839	GraphUtil+BondMap	Relaxation		1597.5	1.7x	992.9	604.6	1.0x	58458704854271
chembl_22.smi	167839-335678	AtomContainer	Relaxation		85300.0	84.7x	0.0	85300.0	132.5x	97216355080497
chembl_22.smi	167839-335678	AtomContainer	Relaxation	Improved	5692.7	5.7x	0.0	5692.7	8.8x	97216355080497
chembl_22.smi	167839-335678	GraphUtil	Relaxation		1043.7	1.0x	399.9	643.8	1.0x	97216355080497
chembl_22.smi	167839-335678	AtomRef	Relaxation		2190.7	2.2x	593.5	1597.1	2.5x	97216355080497
chembl_22.smi	167839-335678	AtomRef	Relaxation	Xor	1681.1	1.7x	326.5	1354.5	2.1x	97216355080497
chembl_22.smi	167839-335678	BondRef	Relaxation		1007.4	1.0x	363.8	643.6	1.0x	97216355080497
chembl_22.smi	167839-335678	GraphUtil+BondMap	Relaxation		1680.8	1.7x	1035.3	645.5	1.0x	97216355080497
chembl_22.smi	335678-503517	AtomContainer	Relaxation		93454.6	89.6x	0.0	93454.6	139.7x	139230775908721
chembl_22.smi	335678-503517	AtomContainer	Relaxation	Improved	6201.6	5.9x	0.0	6201.6	9.3x	139230775908721
chembl_22.smi	335678-503517	GraphUtil	Relaxation		1079.1	1.0x	410.1	669.0	1.0x	139230775908721
chembl_22.smi	335678-503517	AtomRef	Relaxation		2282.9	2.2x	610.7	1672.2	2.5x	139230775908721
chembl_22.smi	335678-503517	AtomRef	Relaxation	Xor	1755.8	1.7x	340.5	1415.3	2.1x	139230775908721
chembl_22.smi	335678-503517	BondRef	Relaxation		1043.3	1.0x	367.2	676.1	1.0x	139230775908721
chembl_22.smi	335678-503517	GraphUtil+BondMap	Relaxation		1756.7	1.7x	1084.9	671.8	1.0x	139230775908721
chembl_22.smi	503517-671356	AtomContainer	Relaxation		196330.6	172.4x	0.0	196330.6	260.7x	182342084275319
chembl_22.smi	503517-671356	AtomContainer	Relaxation	Improved	12714.0	11.2x	0.0	12714.0	16.9x	182342084275319
chembl_22.smi	503517-671356	GraphUtil	Relaxation		1166.8	1.0x	413.8	753.1	1.0x	182342084275319
chembl_22.smi	503517-671356	AtomRef	Relaxation		2500.8	2.2x	593.2	1907.6	2.5x	182342084275319
chembl_22.smi	503517-671356	AtomRef	Relaxation	Xor	1940.2	1.7x	327.3	1612.9	2.1x	182342084275319
chembl_22.smi	503517-671356	BondRef	Relaxation		1138.7	1.0x	356.6	782.1	1.0x	182342084275319
chembl_22.smi	503517-671356	GraphUtil+BondMap	Relaxation		1845.1	1.6x	1091.5	753.6	1.0x	182342084275319
chembl_22.smi	671356-839195	AtomContainer	Relaxation		20854.1	31.7x	0.0	20854.1	57.0x	218222513744777
chembl_22.smi	671356-839195	AtomContainer	Relaxation	Improved	1509.9	2.3x	0.0	1509.9	4.1x	218222513744777
chembl_22.smi	671356-839195	GraphUtil	Relaxation		697.6	1.1x	316.4	381.2	1.0x	218222513744777
chembl_22.smi	671356-839195	AtomRef	Relaxation		1395.9	2.1x	493.9	902.0	2.5x	218222513744777
chembl_22.smi	671356-839195	AtomRef	Relaxation	Xor	1033.7	1.6x	264.7	769.0	2.1x	218222513744777
chembl_22.smi	671356-839195	BondRef	Relaxation		658.7	1.0x	292.9	365.7	1.0x	218222513744777
chembl_22.smi	671356-839195	GraphUtil+BondMap	Relaxation		1093.3	1.7x	707.6	385.7	1.1x	218222513744777
chembl_22.smi	839195-1007034	AtomContainer	Relaxation		61153.8	80.8x	0.0	61153.8	134.8x	255265342320637
chembl_22.smi	839195-1007034	AtomContainer	Relaxation	Improved	4009.1	5.3x	0.0	4009.1	8.8x	255265342320637
chembl_22.smi	839195-1007034	GraphUtil	Relaxation		794.5	1.0x	333.3	461.2	1.0x	255265342320637
chembl_22.smi	839195-1007034	AtomRef	Relaxation		1635.7	2.2x	515.0	1120.7	2.5x	255265342320637
chembl_22.smi	839195-1007034	AtomRef	Relaxation	Xor	1242.3	1.6x	291.9	950.4	2.1x	255265342320637
chembl_22.smi	839195-1007034	BondRef	Relaxation		757.1	1.0x	303.4	453.7	1.0x	255265342320637
